category,name,price_inr,orginal_price_inr,discount%
KISAH,Floral Pattern Sherwani Set,9061,17097,47
KISAH,Sherwani Set with Woven Motifs,8699,15797,45
KISAH,Men Embroidered Regular Fit Sherwani Set,5899,10399,43
KISAH,Embellished Sherwani Set,4508,9999,55
KISAH,Men Embroidered Sherwani & Pyjamas Set,13999,20599,32
KISAH,Sherwani Set with Woven Motifs,6653,12097,45
KISAH,Mandarin Collar Sherwani & Kurta with Churidar Set,7746,14897,48
KISAH,Printed Mandarin-Neck Sherwani Set,7439,15498,52
KISAH,Buttoned-Up 3-Piece Sherwani Set,6164,13399,54
KISAH,Sherwani Set with Woven Motifs,8413,16497,49
KISAH,Men Paisley Woven Sherwani & Dhoti Set,8500,13998,39
KISAH,Embellished Sherwani Set,5829,10998,47
KISAH,Men Floral Woven Sherwani with Kurta & Churidar,7598,12700,40
KISAH,Men Paisley Woven Regular Fit Sherwani with Kurta & Dhoti Pants,12100,18598,35
Deyann,3-Piece Sherwani Set,5995,11990,50
KISAH,Self-design Sherwani Set,6399,11099,42
KISAH,Men Leaf Woven Sherwani & Pyjamas et,6399,11198,43
KISAH,Mandarin-Neck Sherwani Set,4514,10999,59
KISAH,Floral Sherwani and Churidar Set,7099,14499,51
KISAH,Sherwani Set with Paisley Woven Motifs,8900,15097,41
KISAH,Sherwani Set with Floral Woven Motifs,6373,12497,49
KISAH,Men Floral Woven Regular Fit Sherwani Set,9300,15198,39
Anil Kumar Ajit Kumar,Self-Design Sherwani Set,3967,6399,38
KISAH,Men Self-Design Regular Fit Sherwani Set,6599,11499,43
KISAH,Floral Woven Sherwani Set,6480,14399,55
hangup,Floral Print Sherwani with Pyjamas,2600,9999,74
KISAH,Floral Print Sherwani Set,9198,17097,46
hangup,Indian Pattern Sherwani Set,2900,9999,71
KISAH,Sherwani Set with Geometric Woven Motifs,5609,10998,49
KISAH,Sherwani Set with Pocket Square,4361,10999,60
KISAH,Solid Mandarin-Neck Sherwani Set,4115,10999,63
KISAH,Men Embellished Regular Fit Sherwani Set,5899,10399,43
KISAH,Men Paisley Woven Regular Fit Sherwani Set,9899,15997,38
HANGUP PLUS,Buttoned-Up Sherwani with Pyjamas,3100,9999,69
KISAH,Men Floral Woven Sherwani & Pyjamas Set,8599,14498,41
KISAH,Woven Sherwani Set,6784,11499,41
hangup,Checked Sherwani Set with Square Pocket,2900,9999,71
