,faqs,updation_required,deletion_required
0,Does ABDM recommend a particular digital health solution?,No,No
1,How can I create my ABHA number?,No,No
2,How do I get ABHA Number?,No,No
3,Does having an ABHA Number entitle you for the Ayushman Bharat Pradhan Mantri Jan Arogya Yojana (AB-PMJAY)?,No,No
4,How does ABDM work?,No,No
5,What is Ayushman Bharat Digital Mission (ABDM)?,No,No
6,Is enrolling on ABDM compulsory?,No,No
7,What is National Health Authority?,No,No
8,Is the Health ID and ABHA one and the same?,No,No
9,Is there a fee involved for registration in ABDM systems?,No,No
10,What are the problems that ABDM seeks to address?,No,No
11,Why does an ecosystem need to be created instead of providing a uniform system to the country?,No,No
12,Why is digitization of healthcare more difficult than digitization of other sectors?,No,No
13,Are Ayushman Bharat Digital Mission and National Digital Health Mission the same?,No,No
14,What is the meaning of a federated architecture?,No,No
15,Does ABDM suggest a particular Health (or Hospital) Management Information System (HMIS) or Health (Hospital) Information Management System (HIMS) or Hospital Information System?,No,No
16,Can I opt out of the ABDM ecosystem?,No,No
17,Is Ayushman Bharat Pradhan Mantri Jan Arogya Yojana related with Ayushman Bharat Digital Mission?,No,No
18,What is Ayushman Bharat?,No,No
19,If ABHA Number should be unique then why is it possible to create more than one ABHA Number currently?,No,No
20,How is ABHA provided?,No,No
21,Is AB PM-JAY and ABDM related to Ministry of AYUSH?,No,No
22,How can I login into the ABHA App?,No,No
23,What are the benefits for citizens registering in ABDM?,No,No
24,Are my health records safe and secure on ABDM Systems?,No,No
25,"Once the whole health ecosystem is online, will it mean that to visit a healthcare practitioner anywhere in India, a patient will have to book online first? Will it mean that physical appointments will all move online?",No,No
26,How does ABDM take into account widespread digital illiteracy in India?,No,No
27,How will my data be used by the government?,No,No
28,Will my digital health records be shared with other doctors or health facility without my permission?,No,No
29,What is the role of National Health Authority in the implementation of ABDM?,No,No
30,Is it proper to undertake such initiative or implement such mission in the absence of specially enacted law for this particular purpose?,No,No
31,Is it possible for government or any other entity to do surveillance of health status of any individual through ABDM?,No,No
32,What are digital health standards/codes?,No,No
33,What is the role of State government /UT administration in ABDM?,No,No
34,What is the role of District Administration in implementation of ABDM?,No,No
