State/UT,ABHAs Created,population
Andhra Pradesh,41337472,53000000
Arunachal Pradesh,347536,1500000
Assam,17934359,35000000
Bihar,33765853,125000000
Chhattisgarh,20467714,29000000
Goa,829662,1500000
Gujarat,44705609,70000000
Haryana,13165667,28000000
Himachal Pradesh,5878139,7000000
Jharkhand,13588386,38000000
Karnataka,27199214,67000000
Kerala,17509403,35000000
Madhya Pradesh,44141211,82000000
Maharashtra,49699389,128000000
Manipur,849855,3000000
Meghalaya,988283,3000000
Mizoram,616188,1000000
Nagaland,660447,2000000
Odisha,26109506,47000000
Punjab,12488591,30000000
Rajasthan,31693748,80000000
Sikkim,408216,700000
Tamil Nadu,12158302,78000000
Telangana,18634960,39000000
Tripura,1556631,4000000
Uttar Pradesh,89911237,220000000
Uttarakhand,6650123,11000000
West Bengal,35301528,100000000
