date,name,comment,rating
2024-06-07,SENTHIL SENTHIL,good app thanks,5.0
2024-06-07,sachin pimpalkar,Biomatric ka option dena chahiye Face ke bahut problems ate hai,1.0
2024-06-06,Shailendra Kumar,Very good app,5.0
2024-06-06,Just Fun,Website option aur aap option very deference..,3.0
2024-06-06,Gourav Kumar,Third class app. Not opening. Only ads loading. 0 rating.,1.0
2024-06-06,Rakesh Kumar,it's to good,5.0
2024-06-06,Anil Sutavane,"Usefull , user friendly like it",5.0
2024-06-05,ASHOK S GUPTA,Dish app may headset note varkiang,1.0
2024-06-05,sunil dangi,Super,5.0
2024-06-05,astro jogi thakur,Jee jogi thakur,5.0
2024-06-04,Mahboob Malik,Very good,5.0
2024-06-04,creator voice,"Not able to log in , update",2.0
2024-06-03,AMZAD KHAN,Very nice 👍 app,5.0
2024-06-03,RajeshBhai Pai,Excellent aap,4.0
2024-06-03,Palle mounika Palle,Very nice ap,5.0
2024-06-02,KHAN STATUS GURU,Thank u ABHa,5.0
2024-06-01,Abdur Rahman Siddiqui,The keep closing saying network not available where all other apps are working fine,1.0
2024-05-31,Anju Johari,Good,5.0
2024-05-31,kavi king,This app is very good,5.0
2024-05-31,Satyam Kumar,I am best working this app thank you so much abha card app,5.0
2024-05-31,Jawed Akhtar,Switch account not working Please fix,3.0
2024-05-30,A U,"While scanning hospital qr code, app says too many request found.",1.0
2024-05-30,Kunal Kumar,"So, the thing which the app promised is not working 😡 I can't add any health records so what is the use of this app, I hate this app. Please remove it from playstore asap.",1.0
2024-05-30,Ravi Laskar,I am not able to find Health records linked. I am not able to Link Health records.,3.0
2024-05-30,Aniket Saha,He is very good and thanks for Modi government,5.0
2024-05-30,Brajesh Kumar,Good,4.0
2024-05-30,Vijay Ahirwar,Bina notice pecents ko paresan hona pad raha he Jinke pass mobile nhi he usko token nhi diya ja raha he Na hi elaj kiya ja raha he,1.0
2024-05-29,Ranju Munesha,Ok,5.0
2024-05-29,Srinath Ashiwini,Polamoni Ashwini Chippalapally village Kandukur Mandal Ranga Reddy district,5.0
2024-05-29,Parapati Govinda Rao,Government technical worst app in government hospitals,1.0
2024-05-28,Lakshmi Kumari,Ye hospital mahua me Hain,4.0
2024-05-28,Diwakar Singh,shupar,5.0
2024-05-28,Anjali Sharma,good,4.0
2024-05-27,Md Muzamil,Nice,5.0
2024-05-27,Dipak Rajak,Good,5.0
2024-05-27,Suraj Gupta,Unable to start due to network..,1.0
2024-05-27,Rishabh Dhurve,फालतू पब्लिक को परेशान करने के लिए बना दिया है गरीब जनता और बुजुर्ग लोग जिन्हें मोबाइल चलाना नहीं आता वो घंटो परेशान होते है हॉस्पिटल में साथ ही सर्वर अलग परेशान करता है कई कई मिनट टोकन नंबर नही आता।,2.0
2024-05-27,Papa Rao,wrost app not working properly,1.0
2024-05-27,JASHWANTH YADAV YADAV,Don't install this app . Don't download please your time waste ....👎,1.0
2024-05-27,kullayi Royals,Good,5.0
2024-05-27,Manjula Thallapelly,Worst app it was not opening yet..!,1.0
2024-05-27,R.K.Sharma jee,Very good 👍,3.0
2024-05-27,shyam the kingslayer,Worst app ever,1.0
2024-05-27,Fulchand patel,Bakwas,1.0
2024-05-27,Shabir khan 1111,This is not working,4.0
2024-05-27,Subhash Singh Rajput,Bahut achhcha,5.0
2024-05-27,Anurag Raj,Worst government app. No network connection at any time.. waste of time,1.0
2024-05-27,Riyana Ray,Doesn't open,1.0
2024-05-27,Maddila Venkatesh,Server down worrest app,1.0
2024-05-27,Naveen Kumar,App does not open.,1.0
2024-05-27,Fake Smile,Super 👍,5.0
2024-05-27,Avadhkishor Verma,Not available,4.0
2024-05-27,Sanjeevan Yadav,",2 year",1.0
2024-05-27,Rishabh Kulshrestha,"Useless App, too many bugs. Unreliable, management is just showing off doing this.",1.0
2024-05-27,Bhim singh,Good,5.0
2024-05-27,B Balraju,Good,5.0
2024-05-27,RATTAN LAL,Bad service,3.0
2024-05-26,veeru trivedi,this policy is good for Indian people thanks to Indian medical department spical thanks to Indian government,5.0
2024-05-26,Sanjeet Verma Kumar,Good,5.0
